F5SPECS,C1FMOTOR,C4R4RSCL,C4R4MSCL,P4ATTENI,P4SOLVE,P4SADLON,T4EXTERN,T4INTERN,GENDER,WKWHITE,WKSESL
2,3,NA,NA,2,2,1.5,NA,NA,1,NA,NA
-9,5,NA,NA,2,1,1.25,NA,NA,1,1,-0.02
2,NA,102.57,67.73,NA,NA,NA,1,1.75,2,1,0.1
2,NA,125.98,75.99,1,2,1.75,-9,2.75,1,1,-0.15
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,NA,113.82,61.84,1,1,1.25,1.8,1.5,1,1,0.99
-9,NA,107.37,64.81,2,1,2,1.8,1.33,1,-9,2.2
-9,NA,NA,NA,2,2,1.25,NA,NA,1,1,1.69
2,NA,124.98,69.86,2,1,1,1.4,1.5,1,1,1.72
-9,NA,88.65,52.12,1,1,1.25,2,1.75,1,1,-0.18
NA,NA,67.22,61.8,2,2,1.75,1.8,1.25,1,1,-0.3
2,NA,64.35,63.97,2,1,2,1.6,2.75,2,NA,NA
NA,NA,75.44,48.87,1,1,1,1.6,1.25,1,1,0.97
-9,NA,76.58,56.59,2,2,1.25,1,1,2,1,0.59
-9,NA,NA,NA,2,1,1,NA,NA,1,1,0.29
2,NA,77.02,57.18,1,1,1.5,1,1,2,1,2.45
NA,NA,65.13,50.04,1,2,1.25,NA,NA,2,1,-0.23
2,NA,107.55,84.01,2,2,1.25,1,1,2,1,2.13
NA,NA,72.06,90.14,2,1,1.75,NA,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA
2,7,130.92,95.53,3,2,1.75,1.6,1.25,1,1,2
NA,4,75.28,51.65,2,1,1.5,2.6,2,1,1,-0.74
2,7,99.63,37.33,2,1,1,NA,NA,2,1,-0.04
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,-0.44
2,7,90.62,67.03,2,2,1.75,1.2,1.5,2,1,1.17
1,1,36.55,25.56,3,3,2,1.4,2,1,1,-0.9
2,2,46.65,28.46,3,2,2,1.6,1.75,1,1,-0.22
2,4,67.29,46.91,2,2,1.25,2,3,2,1,-0.58
2,3,61.16,71.16,3,2,1.25,NA,NA,2,1,-0.39
-9,4,NA,NA,2,1,2,NA,NA,1,1,-0.8
NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,-0.1
2,7,117.33,60.24,1,1,1.25,1.2,1.25,2,1,0.01
NA,4,NA,NA,3,1,1.5,NA,NA,1,1,0.09
2,7,93.12,53.69,2,2,1.25,1,2,2,1,-1.05
NA,2,42.7,30.13,NA,NA,NA,2,1.75,1,1,-0.87
2,5,76.26,60.71,3,3,2.75,1.6,1,2,1,-0.2
NA,3,NA,NA,2,2,1.25,NA,NA,2,1,-1.15
2,1,87.37,37.5,2,2,1.25,NA,NA,2,1,-0.26
2,6,88.39,85.61,2,2,1.25,2,1.75,1,1,-0.43
2,4,75.67,55.34,2,2,1.75,1.4,1.5,1,1,-0.34
2,5,76.25,58.42,2,2,2,1.2,2.25,1,1,-1.44
1,1,50.77,38.16,2,2,1,1.8,2,2,1,-1.03
1,6,42.86,49.87,2,2,1.75,NA,NA,1,1,0.42
1,7,49.73,42.62,2,2,1.5,NA,NA,1,1,0.04
NA,4,NA,NA,NA,NA,NA,NA,NA,2,1,0.21
NA,6,62.55,36.91,2,1,1.75,NA,NA,1,1,-0.26
2,8,154.13,102.68,1,1,2,NA,NA,1,1,0.45
2,7,74.09,53.6,2,2,1.25,NA,NA,1,1,-0.53
1,2,55.61,43.78,2,2,1.25,NA,NA,1,1,0.57
2,8,61.65,60.1,3,1,2,NA,NA,2,1,0.61
NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,0.91
2,8,67.49,37.13,2,2,1.25,NA,NA,1,1,1.14
2,5,117.01,91.53,2,1,1.5,NA,NA,2,1,1.31
NA,7,65.97,77.1,2,2,1.25,NA,NA,2,1,1.36
NA,6,53.88,62.41,1,2,1.75,NA,NA,2,1,0.59
2,8,113.53,63.54,2,2,1.25,NA,NA,2,1,0.08
2,7,65.45,50.48,2,2,1.75,NA,NA,1,1,-0.6
2,5,42.72,44.33,3,3,1.75,2,2,2,1,0.68
2,9,126.87,104.86,1,1,1.25,1.2,1.25,2,1,2.45
2,3,107.53,60.15,2,2,1.5,1.4,1.25,1,1,0.16
2,6,83.21,60.56,2,2,1.5,1.8,1.75,1,1,-0.11
2,9,124.51,88.61,1,1,1.75,1.6,1.75,1,1,-0.57
2,8,94.27,88.61,2,2,1.5,1.2,1.75,2,1,1.39
2,7,80.86,70.34,2,2,1.75,1.4,1.25,1,1,1.27
2,4,65.94,46.52,3,3,1.75,2.2,1.75,2,1,-0.34
2,7,107.31,83.78,2,2,2,1.4,1.25,2,1,0.52
2,7,121.52,65.44,1,2,1.25,1.2,1.25,2,1,0.86
2,6,77.25,62.89,2,3,1.75,1.6,2,1,1,-0.39
2,6,141.73,89.01,1,1,1.25,1.6,1.25,2,1,1.53
2,7,108.46,86.5,2,1,1.25,1.2,1.5,2,1,1.3
2,8,80.41,85.17,2,2,1.25,1,1.25,2,1,-0.38
