Special_Education,Fine_Motor_Skill,Reading_Score,Math_Score,Attention_level,Problem_Solving,SadLonely,Externalizing,Internalizing,Gender,White,SES
0.0,3.0,58.41,42.83,2.0,3.0,1.5,1.0,2.0,1.0,1.0,0.95
0.0,9.0,66.5,60.4,2.0,2.0,1.75,1.4,1.0,2.0,1.0,-0.32
0.0,7.0,65.65,67.93,2.0,2.0,1.5,1.2,1.25,1.0,1.0,0.5
0.0,9.0,65.78,97.07,2.0,1.0,1.25,1.2,1.25,1.0,1.0,0.3
0.0,6.0,104.03,73.55,1.0,1.0,1.0,1.6,1.25,2.0,1.0,0.53
0.0,7.0,76.49,73.18,2.0,1.0,1.25,1.2,2.0,2.0,1.0,-0.11
0.0,8.0,91.75,98.06,2.0,1.0,1.0,1.6,2.25,1.0,1.0,0.81
0.0,6.0,127.0,62.59,2.0,2.0,1.25,2.0,1.25,2.0,1.0,-0.46
0.0,5.0,52.42,59.57,3.0,3.0,1.75,3.6,2.75,1.0,1.0,0.5
0.0,3.0,84.71,65.94,2.0,2.0,1.25,1.6,1.0,2.0,1.0,-0.38
0.0,7.0,65.51,64.49,2.0,2.0,1.0,1.2,1.0,2.0,1.0,0.01
0.0,7.0,130.92,95.53,3.0,2.0,1.75,1.6,1.25,1.0,1.0,2.0
0.0,7.0,90.62,67.03,2.0,2.0,1.75,1.2,1.5,2.0,1.0,1.17
1.0,1.0,36.55,25.56,3.0,3.0,2.0,1.4,2.0,1.0,1.0,-0.9
0.0,2.0,46.65,28.46,3.0,2.0,2.0,1.6,1.75,1.0,1.0,-0.22
0.0,4.0,67.29,46.91,2.0,2.0,1.25,2.0,3.0,2.0,1.0,-0.58
0.0,7.0,117.33,60.24,1.0,1.0,1.25,1.2,1.25,2.0,1.0,0.01
0.0,7.0,93.12,53.69,2.0,2.0,1.25,1.0,2.0,2.0,1.0,-1.05
0.0,5.0,76.26,60.71,3.0,3.0,2.75,1.6,1.0,2.0,1.0,-0.2
0.0,6.0,88.39,85.61,2.0,2.0,1.25,2.0,1.75,1.0,1.0,-0.43
0.0,4.0,75.67,55.34,2.0,2.0,1.75,1.4,1.5,1.0,1.0,-0.34
0.0,5.0,76.25,58.42,2.0,2.0,2.0,1.2,2.25,1.0,1.0,-1.44
1.0,1.0,50.77,38.16,2.0,2.0,1.0,1.8,2.0,2.0,1.0,-1.03
0.0,5.0,42.72,44.33,3.0,3.0,1.75,2.0,2.0,2.0,1.0,0.68
0.0,9.0,126.87,104.86,1.0,1.0,1.25,1.2,1.25,2.0,1.0,2.45
0.0,3.0,107.53,60.15,2.0,2.0,1.5,1.4,1.25,1.0,1.0,0.16
0.0,6.0,83.21,60.56,2.0,2.0,1.5,1.8,1.75,1.0,1.0,-0.11
0.0,9.0,124.51,88.61,1.0,1.0,1.75,1.6,1.75,1.0,1.0,-0.57
0.0,8.0,94.27,88.61,2.0,2.0,1.5,1.2,1.75,2.0,1.0,1.39
0.0,7.0,80.86,70.34,2.0,2.0,1.75,1.4,1.25,1.0,1.0,1.27
0.0,4.0,65.94,46.52,3.0,3.0,1.75,2.2,1.75,2.0,1.0,-0.34
0.0,7.0,107.31,83.78,2.0,2.0,2.0,1.4,1.25,2.0,1.0,0.52
0.0,7.0,121.52,65.44,1.0,2.0,1.25,1.2,1.25,2.0,1.0,0.86
0.0,6.0,77.25,62.89,2.0,3.0,1.75,1.6,2.0,1.0,1.0,-0.39
0.0,6.0,141.73,89.01,1.0,1.0,1.25,1.6,1.25,2.0,1.0,1.53
0.0,7.0,108.46,86.5,2.0,1.0,1.25,1.2,1.5,2.0,1.0,1.3
0.0,8.0,80.41,85.17,2.0,2.0,1.25,1.0,1.25,2.0,1.0,-0.38
0.0,6.0,59.11,50.88,2.0,2.0,1.0,1.8,2.0,1.0,1.0,-0.17
0.0,7.0,51.4,53.92,2.0,2.0,1.75,2.0,1.0,1.0,1.0,0.2
0.0,7.0,56.55,36.47,1.0,1.0,1.75,2.2,1.0,2.0,1.0,0.7
1.0,2.0,55.71,48.43,3.0,4.0,1.5,2.6,2.5,1.0,1.0,-0.06
0.0,7.0,106.25,65.54,2.0,2.0,1.75,1.4,1.75,1.0,1.0,-0.05
0.0,8.0,96.53,100.3,2.0,1.0,1.25,1.0,1.25,1.0,1.0,0.45
0.0,9.0,63.15,75.44,2.0,2.0,1.75,1.6,2.0,1.0,1.0,0.88
0.0,6.0,75.98,40.9,2.0,2.0,1.0,1.4,1.25,1.0,1.0,0.08
0.0,8.0,102.01,76.17,2.0,2.0,1.5,2.0,1.5,1.0,1.0,-0.06
0.0,5.0,144.21,83.53,1.0,1.0,1.25,1.4,1.5,2.0,1.0,1.32
0.0,1.0,56.8,35.29,3.0,2.0,1.5,3.6,2.5,2.0,1.0,-0.47
1.0,3.0,38.26,30.11,2.0,2.0,2.0,1.4,1.25,1.0,1.0,-0.07
0.0,7.0,126.99,81.07,2.0,2.0,2.0,1.0,1.25,2.0,2.0,0.35
0.0,6.0,73.96,55.71,2.0,2.0,1.75,1.0,1.25,1.0,2.0,0.08
0.0,9.0,72.53,79.78,2.0,1.0,1.75,2.6,1.25,1.0,1.0,0.71
1.0,6.0,47.28,46.88,3.0,1.0,1.75,1.0,1.5,2.0,1.0,-0.69
0.0,5.0,75.84,54.5,2.0,2.0,1.25,1.6,2.25,2.0,1.0,-0.28
0.0,3.0,64.38,48.71,2.0,2.0,1.5,2.4,2.0,1.0,2.0,-0.72
0.0,6.0,86.21,48.83,2.0,2.0,1.5,2.2,2.25,2.0,1.0,-0.95
1.0,5.0,42.38,29.98,2.0,2.0,1.25,1.8,1.25,1.0,1.0,-0.63
0.0,6.0,94.11,61.32,2.0,2.0,1.75,1.8,1.75,1.0,1.0,-0.28
0.0,3.0,76.44,59.69,2.0,2.0,1.5,1.4,1.75,2.0,1.0,1.08
0.0,8.0,91.48,64.97,3.0,2.0,2.0,1.2,1.25,1.0,1.0,0.39
0.0,9.0,88.27,55.01,3.0,2.0,2.5,2.0,2.0,1.0,1.0,0.12
0.0,8.0,90.78,78.49,1.0,1.0,1.25,1.6,1.5,2.0,1.0,-0.01
0.0,5.0,99.45,70.18,2.0,2.0,1.25,2.8,1.75,1.0,1.0,0.8
0.0,9.0,82.25,55.29,1.0,2.0,1.0,1.2,1.5,2.0,1.0,-0.09
